Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_all/10.1016.j.intermet.2015.01.004/figures/gr1.jpg,Fig. 1,"(a) XRD patterns of the as-cast CoCrFeNiNbx(x = 0, 0.103, 0.155, 0.206, 0.309 and 0.412) alloys and (b) the detailed scans for the peak of (2 0 0) of the FCC phase."
fig2,articles_all/10.1016.j.intermet.2015.01.004/figures/gr2.jpg,Fig. 2,"Lattice parameter difference of the FCC solid solutions as a function of the Nb content in the as-cast CoCrFeNiNbx(x = 0, 0.103, 0.155, 0.206, 0.309 and 0.412) alloys."
fig3,articles_all/10.1016.j.intermet.2015.01.004/figures/gr3.jpg,Fig. 3,"SEM images of the as-cast CoCrFeNiNbxalloys. (a) x = 0, (b) x = 0.103, (c) x = 0.155, (d) x = 0.206, (e) x = 0.309 and (f) x = 0.412."
fig4,articles_all/10.1016.j.intermet.2015.01.004/figures/gr4.jpg,Fig. 4,"High magnification SEM images of the as-cast CoCrFeNiNbxalloys. (a) x = 0, (b) x = 0.103, (c) x = 0.155, (d) x = 0.206, (e) x = 0.309 and (f) x = 0.412."
fig5,articles_all/10.1016.j.intermet.2015.01.004/figures/gr5.jpg,Fig. 5,"Engineering tensile stress–strain curves of the as-cast CoCrFeNiNbx(x = 0, 0.103, 0.155, 0.206, 0.309 and 0.412) alloys at room temperature."
fig6,articles_all/10.1016.j.intermet.2015.01.004/figures/gr6.jpg,Fig. 6,"SEM secondary electron images of the fractured surfaces after the tensile deformation for the as-cast CoCrFeNiNbxalloys. (a) x = 0, (b) x = 0.103, (c) x = 0.155, (d) x = 0.206, (e) x = 0.309 and (f) x = 0.412."
fig7,articles_all/10.1016.j.intermet.2015.01.004/figures/gr7.jpg,Fig. 7,"The ΔHmix-δ criterion for the as-cast CoCrFeNiNbx(x = 0, 0.103, 0.155, 0.206, 0.309 and 0.412) alloys. The dotted line delineates the solid solution region for the as-cast alloys[13,17], the broken line depicts the solid solution region for the alloys thermally treated[32], and the narrowed as-cast solid solution region indicated by the shaded area after including the current alloy system."
fig8,articles_all/10.1016.j.intermet.2015.01.004/figures/gr8.jpg,Fig. 8,"The volume fractions of the Nb-enriched Laves phase as a function of the Nb content for the as-cast CoCrFeNiNbx(x= 0, 0.103, 0.155, 0.206, 0.309 and 0.412) alloys."
