,Mo,Nb,Hf,Zr,Ti
Nominal,20,20,20,20,20
Experimental,19.58,20.51,20.42,20.10,19.39
Dendrites,18.39,20.16,26.01,19.86,15.58
White particles,19.23,19.20,26.24,20.82,15.50
