Table ID,Table Path,Table Label,Table Caption,Table Footer
t0005,/home/sai/sai-mani/articles_all/10.1016.j.matchar.2012.05.005/tables/Table 1.csv,Table 1,"Chemical compositions of as-cast CoCrFeNiMo
x
 alloys (at.%).",
t0010,/home/sai/sai-mani/articles_all/10.1016.j.matchar.2012.05.005/tables/Table 2.csv,Table 2,Chemical compositions of interior structures marked in Fig. 3 (at.%).,
t0015,/home/sai/sai-mani/articles_all/10.1016.j.matchar.2012.05.005/tables/Table 3.csv,Table 3,"Mechanical properties of CoCrFeNiMo
x
 alloys.",
