Figure ID,Figure Path,Figure Label,Figure Caption
f0005,articles_all/10.1016.j.matchar.2012.05.005/figures/gr1.jpg,Fig. 1,XRD patterns for the as-cast CoCrFeNiMoxalloys.
f0010,articles_all/10.1016.j.matchar.2012.05.005/figures/gr2.jpg,Fig. 2,SEM image of the Mo0alloy.
f0015,articles_all/10.1016.j.matchar.2012.05.005/figures/gr3.jpg,Fig. 3,"SEM images of alloys: (a) and (b), Mo0.3; (c) and (d), Mo0.5; (e) and (f), Mo0.85."
f0020,articles_all/10.1016.j.matchar.2012.05.005/figures/gr4.jpg,Fig. 4,"Variations in the alloy hardness, DR hardness, ID hardness, and FCC lattice parameter of CoCrFeNiMox(x=0, 0.3, 0.5, and 0.85) alloys."
f0025,articles_all/10.1016.j.matchar.2012.05.005/figures/gr5.jpg,Fig. 5,Compressive stress–strain curves for CoCrFeNiMoxalloys.
