Figure ID,Figure Path,Figure Label,Figure Caption
fig0005,articles_all/10.1016.j.jallcom.2010.10.047/figures/gr1.jpg,Fig. 1,"XRD patterns of as-cast AlCoCrFeNiCx(x=0, 0.1, 0.2, 0.3, 0.4, 0.5, 1.0 and 1.5) alloys."
fig0010,articles_all/10.1016.j.jallcom.2010.10.047/figures/gr2.jpg,Fig. 2,"Back-scattered images of as-cast AlCoCrFeNiCxalloys: (a) 0, (b) 0.1, (c) 0.2, (d) 0.3, (e) 0.4, (f) 0.5, (g) 1.0, (h) 1.5."
fig0015,articles_all/10.1016.j.jallcom.2010.10.047/figures/gr3.jpg,Fig. 3,"TEM images with corresponding SAED patterns (inserted pictures) of as-cast AlCoCrFeNiCxalloys: (a) 0, (b) 0.1, (c) 0.2, (d) 1.5."
fig0020,articles_all/10.1016.j.jallcom.2010.10.047/figures/gr4.jpg,Fig. 4,"Compressive true stress–strain curves of as-cast AlCoCrFeNiCx(x=0, 0.1, 0.2, 0.3, 0.4, 0.5, 1.0 and 1.5) alloys."
