Table ID,Table Path,Table Label,Table Caption,Table Footer
tbl0005,/home/sai/sai-mani/articles_all/10.1016.j.jallcom.2010.10.047/tables/Table 1.csv,Table 1,"Compositions (at.%) of areas in as-cast AlCoCrFeNiC
x
 (x
=0, 0.1, 0.2, 0.3, 0.4, 0.5, 1.0 and 1.5) alloys and atomic radii of different elements.",
tbl0010,/home/sai/sai-mani/articles_all/10.1016.j.jallcom.2010.10.047/tables/Table 2.csv,Table 2,"Mechanical properties of as-cast AlCoCrFeNiC
x
 (x
=0, 0.1, 0.2, 0.3, 0.4, 0.5, 1.0 and 1.5) alloys.",
