Loading direction,Incoming system,Barrier system,Residual Burgers vector (  |   b -  r  |  )
<144>T,Slip 1',Twin 7,0.47a
<122>T,Slip 7',Twin 5,0.47a
<111>T,Twin 7,Twin 10,0.70a
<001>C,Twin 9,Twin 8,0.59a
<001>C,Twin 9,Twin 11,0.94a
<001>C,Twin 8,Twin 11,1.22a
