Nominal orientation,Activated systems,Schmid factor at ~10% strain
<001>C,Twin 8,0.47
<001>C,Twin 9,0.44
<001>C,Twin 11,0.47
<111>T,Twin 7,0.36
<111>T,Twin 10,0.34
<122>T,Slip 7',0.41
<122>T,Twin 5,0.29
<144>T,Slip 1',0.34
<144>T,Twin 7,0.49
