Alloy,Zone,Co,Cr,Fe,Ni,Ti,Al
Al0.5,Nominal,18.2,18.2,18.2,18.2,18.2,9.0
Al0.5,Dendrite,20.55,5.16,9.83,26.80,20.35,12.77
Al0.5,Interdendrite,13.28,36.30,33.86,7.10,7.99,0.67
Al1.0,Nominal,16.6,16.6,16.7,16.7,16.7,16.7
Al1.0,Dendrite,24.25,5.66,10.13,26.35,20.62,18.46
Al1.0,Interdendrite,15.55,29.74,33.05,10.02,10.27,6.05
Al1.5,Nominal,15.4,15.4,15.4,15.4,15.4,23.0
Al1.5,Dendrite,26.06,6.31,10.99,23.84,18.11,25.36
Al1.5,Interdendrite,14.98,26.31,23.14,13.97,13.01,9.73
Al2.0,Nominal,14.3,14.3,14.3,14.3,14.3,28.5
Al2.0,Dendrite,18.96,7.99,12.45,20.67,12.26,27.67
Al2.0,Interdendrite,9.35,41.31,28.15,5.57,5.28,10.34
