Alloy System,Hydride formula,"(H/M)max, wt%","(H/M)max, H/atom","(H/M)cal, H/atom","DH cal, kJ/mol","T, degC",Ref.
ZrB2,Zr(Fe0.9V0.1)2H1.60,0.79,0.53,1.40,-18.36,25,[26]
ZrB2,ZrFe2H0.12,0.06,0.04,1.33,-1.30,25,[26]
ZrB2,ZrCr2H3.80,1.95,1.27,2.00,-41.47,25,[26]
ZrB2,Zr(Fe0.25Cr0.75)2H3.40,1.72,1.13,1.83,-37.04,25,[26]
ZrB2,Zr(Fe0.5Cr0.5)2H3.40,1.71,1.13,1.67,-36.95,25,[26]
ZrB2,Zr(Fe0.6Cr0.4)2H2.95,1.48,0.98,1.60,-32.03,25,[26]
ZrB2,Zr(Fe0.75Cr0.25)2H2.85,1.42,0.95,1.50,-30.89,25,[26]
ZrB2,Zr(Fe0.8Cr0.2)2H2.60,1.29,0.87,1.47,-28.16,25,[26]
ZrB2,Zr(Fe0.9Cr0.1)2H0.22,0.11,0.07,1.40,-2.38,25,[26]
ZrB2,ZrMn2H3.60,1.79,1.20,1.33,-53.91,25,[26]
ZrB2,Zr(Fe0.2Mn0.8)2H3.30,1.64,1.10,1.33,-46.67,25,[26]
ZrB2,Zr(Fe0.4Mn0.6)2H3.20,1.59,1.07,1.33,-42.04,25,[26]
ZrB2,Zr(Fe0.5Mn0.5)2H2.90,1.44,0.97,1.33,-37.38,25,[26]
ZrB2,Zr(Fe0.6Mn0.4)2H2.00,0.99,0.67,1.33,-24.38,25,[26]
ZrB2,Zr(Fe0.75Mn0.25)2H0.45,0.22,0.15,1.33,-5.33,25,[26]
ZrB2,Zr(Fe0.8Mn0.2)2H0.20,0.01,0.07,1.33,-2.33,25,[26]
ZrB2,Zr(Fe0.9Mn0.1)2H0.20,0.01,0.07,1.33,-2.24,25,[26]
ZrB2,ZrV2H5.30,2.74,1.77,2.00,-82.46,25,[26]
ZrB2,Zr(Co0.125V0.875)2H4.40,2.26,1.47,1.92,-66.64,25,[26]
ZrB2,Zr(Co0.25V0.75)2H4.20,2.13,1.40,1.83,-61.71,25,[26]
ZrB2,Zr(Co0.5V0.5)2H3.70,1.54,1.23,1.67,-56.71,25,[26]
ZrB2,Zr(Co0.75V0.25)2H2.80,1.37,0.93,1.50,-34.68,25,[26]
ZrB2,Zr(Co0.8V0.2)2H2.10,1.02,0.70,1.47,-25.40,25,[26]
ZrB2,Zr(Co0.9V0.1)2H0.41,0.20,0.14,1.40,-4.71,25,[26]
ZrB2,ZrCo2H0.30,0.14,0.10,1.33,-3.24,25,[26]
ZrB2,ZrCr2H3.80,1.95,1.27,2.00,-41.47,25,[26]
ZrB2,Zr(Co0.25Cr0.75)2H3.25,1.64,1.08,1.83,-35.40,25,[26]
ZrB2,Zr(Co0.5Cr0.5)2H3.20,1.58,1.07,1.67,-34.79,25,[26]
ZrB2,Zr(Co0.75Cr0.25)2H1.60,0.79,0.53,1.50,-17.34,25,[26]
ZrB2,Zr(Co0.8Cr0.2)2H0.30,0.16,0.10,1.47,-3.25,25,[26]
ZrB2,Zr(Co0.9Cr0.1)2H0.30,0.14,0.10,1.40,-3.24,25,[26]
ZrB2,ZrCo2H0.30,0.14,0.10,1.33,-3.24,25,[26]
ZrB2,ZrMn2H3.60,1.79,1.20,1.33,-53.92,25,[26]
ZrB2,Zr(Co0.25Mn0.75)2H3.40,1.67,1.13,1.33,-47.37,25,[26]
ZrB2,Zr(Co0.4Mn0.6)2H3.10,1.53,1.03,1.33,-41.25,25,[26]
ZrB2,Zr(Co0.5Mn0.5)2H3.10,1.51,1.03,1.33,-39.95,25,[26]
ZrB2,Zr(Co0.55Mn0.45)2H2.20,1.07,0.73,1.33,-27.89,25,[26]
ZrB2,Zr(Co0.6Mn0.4)2H2.70,1.06,0.90,1.33,-33.67,25,[26]
ZrB2,Zr(Co0.7Mn0.3)2H0.70,0.34,0.23,1.33,-8.44,25,[26]
ZrB2,Zr(Co0.8Mn0.2)2H0.85,0.41,0.28,1.33,-9.89,25,[26]
ZrB2,Zr(Co0.9Mn0.1)2H0.53,0.25,0.18,1.33,-5.94,25,[26]
,,,,,,,
Zrx,CoFeMnTiVZr0.4H0.09,0.03,0.02,1.44,-0.48,25,-
Zrx,CoFeMnTiVZr0.7H1.63,0.49,0.29,1.47,-9.29,25,-
Zrx,CoFeMnTiVZrH5.14,1.43,0.86,1.50,-30.75,25,-
Zrx,CoFeMnTiVZr1.3H6.21,1.63,0.99,1.52,-38.07,25,-
Zrx,CoFeMnTiVZr1.6H7.09,1.71,1.06,1.52,-44.19,25,-
Zrx,CoFeMnTiVZr2H7.80,1.73,1.11,1.57,-49.12,25,-
Zrx,CoFeMnTiVZr2.3H8.56,1.79,1.17,1.59,-53.96,25,-
Zrx,CoFeMnTiVZ2.6H8.75,1.73,1.15,1.61,-54.99,25,-
Zrx,CoFeMnTiVZr3H8.46,1.56,1.06,1.63,-52.71,25,-
,,,,,,,
Vx,CoFeMnTiV0.4ZrH4.87,1.48,0.90,1.44,-33.15,25,-
Vx,CoFeMnTiV0.7ZrH5.24,1.52,0.92,1.47,-33.31,25,-
Vx,CoFeMnTiV1ZrH5.14,1.43,0.86,1.50,-30.75,25,-
Vx,CoFeMnTiV1.3ZrH5.81,1.55,0.92,1.52,-32.61,25,-
Vx,CoFeMnTiV1.6ZrH6.01,1.54,0.90,1.52,-31.87,25,-
Vx,CoFeMnTiV2ZrH6.37,1.55,0.91,1.57,-31.47,25,-
Vx,CoFeMnTiV2.3ZrH6.73,1.58,0.92,1.59,-31.63,25,-
Vx,CoFeMnTiV2.6ZrH7.24,1.64,0.95,1.61,-32.44,25,-
Vx,CoFeMnTiV3ZrH7.48,1.62,0.93,1.63,-31.40,25,-
,,,,,,,
Tix,CoFeMnTi0.5VZrH2.01,0.60,0.37,1.45,-11.28,,-
Tix,CoFeMnTi1VZrH5.14,1.43,0.85,1.50,-30.59,,-
Tix,CoFeMnTi1.5VZrH6.83,1.78,1.05,1.54,-38.86,,-
Tix,CoFeMnTi2VZrH7.33,1.80,1.05,1.57,-40.51,,-
Tix,CoFeMnTi2.5VZrH5.17,1.20,0.68,1.60,-27.88,,-
,,,,,,,
BCC,V0.85Ti0.10Fe0.05H1.60,3.14,1.60,1.95,-50.34,30,[27]
BCC,(Ti0.16Zr0.05Cr0.22V0.57)0.95Fe0.05H1.16,2.20,1.16,1.95,-34.83,25,[28]
BCC,V30Ti35Cr25Fe10H182.27,3.60,1.82,1.90,-61.33,25,[29]
