No.,Alloy,s 0.2 (Mpa),sb  (Mpa),ep  (%),Ref.
1,Al0.5CrFeNiTi0.25,1880,3475,40,This work
2,AlCoCrFeNi,1423,2852,22.7,[27]
3,AlCoCrFeNiTi0.5,2260,3140,23.3,[5]
4,AlCoCrFeNiTi0,1500,2830,26.9,[5]
5,CuCoFeNiCrTi0.5,700,1650,21.6,[28]
6,Cu48Zr48Al4,1200,1880,5.3,[29]
7,CuCoFeNiCrAlV,1469,1970,16,[30]
8,CuCoFeNiCrAl,1303,2081,24,[30]
9,NbMoTaW,1058,1211,1.5,[13]
10,FeCoNi(AlSi)0.3,938,2857,33,[31]
11,FeCoNi(AlSi)0.2,342,2500,47,[31]
12,AlCoCrFeNiTi0.3,1980,3600,12,[32]
