Table ID,Table Path,Table Label,Table Caption,Table Footer
tbl1,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.jallcom.2016.10.138\tables\Table 1.csv,Table 1,Lattice parameters of as-deposited and aged AlCoCrFeNi alloys.,
tbl2,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.jallcom.2016.10.138\tables\Table 2.csv,Table 2,Room temperature compression properties of AlCoCrFeNi alloys.,
tbl3,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.jallcom.2016.10.138\tables\Table 3.csv,Table 3,Electrochemical parameters of aged AlCoCrFeNi specimens when polarized in 0.6 M NaCl solution at room temperature.,
