Alloy,"r, kg/m3"
AlNbTiV,5590
AlNbTiVZr0.1,5530
AlNbTiVZr0.25,5570
AlNbTiVZr0.5,5640
AlNbTiVZr,5790
AlNbTiVZr1.5,5870
