Alloy,Co,Cr,Fe,Ni,Mo
Mo0,25.7,24.8,25.2,24.3,0
Mo0.3,23.9,22.5,22.2,23.9,7.5
Mo0.5,22.6,22.3,20.4,22.5,12.2
Mo0.85,21.5,20.7,20.1,20.2,17.5
