Alloy,H   res  in G,g  -value,D  H  in G,Amplitude in A
CrMnFeCoNi,H  FMR  =500  2900,-  2.317,1500  800,120  110
CrFeCoNi,H  FMR  =200  2500,-  2.689,1500  350,2212  2528
CrFeNi,3150,2.135,560,89
CrCoNi,3136  3267  3501  CESR: 3788.6,2.144  2.058  1.92 1.77,157  835  130 522,18  11  14 26
