Alloy,"Microhardness, HV"
Fe40Mn28Ni28Cr4,111+-6
Fe40Mn28Ni20Cr12,115+-4
Fe40Mn28Ni14Cr18,126+-6
Fe40Mn28Ni8Cr24,410+-19
