Alloy,Alloy,"s0.2, MPa","sUTS, MPa","df, %","du, %"
1,Fe40Mn28Ni28Cr4,210,565,71,51
2,Fe40Mn28Ni20Cr12,245,545,66,49
3,Fe40Mn28Ni14Cr18,310,605,54,37
