HEAs,Mechanically alloyed powder,Mechanically alloyed powder,Sintered compact,Sintered compact
,Crystallite size (nm),Strain (%),Crystallite size (nm),Strain (%)
AlCoCrCuFe,10,0.50,74,0.09
NiCoCrCuFe,7.0,1.00,27,0.14
NiCoCrFe,6.0,0.83,13,0.00
NiCoCuFe,9.0,0.73,16,0.05
NiCoFe,10,0.98,25,0.00
