Case,Texture Index (42% True Strain),Twin Vol. Fraction (42% True Strain)
Case 1: Only Slip,2.0518,-
Case 2: Slip/Twin = 1.0/1.0,1.9168,0.043
Case 3: Slip/Twin = 1.5/5.0,2.0703,0.109
Case 4: Slip/Twin = 3.0/5.0,2.0187,0.056
Case 5: Slip/Twin = 5.0/5.0,1.9072,0.053
