Phases,Elements (at%),Elements (at%),Elements (at%),Elements (at%),Elements (at%)
Phases,Al,Co,Cr,Fe,Ni
Nominal,16.39,16.39,16.39,16.39,34.43
L12,8.66+-0.2,18.47+-0.25,20.53+-0.05,19.48+-0.25,32.85+-0.36
B2,24.30+-1.3,13.00+-0.14,6.50 +-0.84,10.55+-0.77,45.70+-2.83
Nano-precipitates inside B2,18.11+-1.3,13.32+-1.1,23.6+-3.9,10.08+-1.1,38.9+-6.3
