Region,Cr/at.%,Fe/at.%,Co/at.%,Ni/at.%,Nb/at.%
A,26.63,25.86,23.32,23.35,0.82
B,11.99,16.61,24.15,14.39,32.84
C,14.19,16.13,25.75,33.51,10.40
