Table ID,Table Path,Table Label,Table Caption,Table Footer
t0005,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.msea.2015.10.071\tables\Table 1.csv,Table 1,"Parameters of hexagonal elements used to studying ternary and quarterly equi-atomic alloys [12, 17-19]",
t0010,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.msea.2015.10.071\tables\Table 2.csv,Table 2,EDS analysis results of the areas listed in Fig. 3.,
t0015,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.msea.2015.10.071\tables\Table 3.csv,Table 3,EDS analysis results of the areas listed in Fig. 6a for Nb25Sc25Ti25Zr25 HEA after annealing at 1000@C for 24h,
