J,Nb,Ta,Ti,Zr,Mo,d  ai,d  G'i
i,Nb,Ta,Ti,Zr,Mo,d  ai,d  G'i
Nb,0,- 0.45,- 0.140,0.131,- 0.698,-0.029,-0.117
Ta,0,0,0.361,0.524,- 0.452,-0.029,0.346
Ti,-0.01,-0.01,0,0.25,- 0.651,-0.040,-0.012
Zr,0.08,0.08,0.09,0,- 0.738,0.061,-0.240
Mo,-0.047,-0.047,-0.04,-0.129,0,-0.084,0.731
