Alloy,(s y)mix,Ds  a,Ds  G,s y  C,s y  E,(s y  C  - s y  E )/s y  E  x100
TiZrNbTaMo,260,240,1400,1900,1390,+37
TaNbHfZrTi [28],226,221,647,1094,929,+18
