Region,E mix/GPa,G mix/GPa,n,(H v)mix/GPa,E/GPa,H v/GPa,a mix/nm,a/nm
DR,184,69,0.33,1.14,161+-7,6.4+-0.3,0.3289,0.3310
ID,136,51,0.33,1.05,133+-6,5.7+-0.3,0.3396,0.3379
