Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2018.03.040/figures/gr1.jpg,Fig. 1,Elemental mapping of the CrMnFeCoNi HEA and corresponding chemical compositions by scanning electron microscopy (SEM)-Energy-dispersive X-ray spectrometry (EDX).
fig2,articles_test/10.1016.j.actamat.2018.03.040/figures/gr2.jpg,Fig. 2,(a) Scanning electron microscopy image of initial microstructure of the CrMnFeCoNi HEA; (b) grain size distribution in Fig. (a); (c) X-ray diffraction pattern of the CrMnFeCoNi HEA.
fig3,articles_test/10.1016.j.actamat.2018.03.040/figures/gr3.jpg,Fig. 3,"(a) Schematic drawing of dynamic loading of the hat-shaped specimen with the stopper ring (in mm) by the split-Hopkinson pressure bar; (b) shear stress, shear strain and temperature evolution of the shear band; (c) scanning electron microscope (SEM) image showing separation of particles near the shear band; (d) SEM image of the shear band."
fig4,articles_test/10.1016.j.actamat.2018.03.040/figures/gr4.jpg,Fig. 4,"(a) Mechanical response of the Cantor alloy under different strain-rates; (b) the value ofρCpnfor pure Ti [32], Ti-6Al-4V alloy [33], 1006-Steel [34], Copper [34], Brass [34] and the Cantor alloy; (c) thermal-softening effect of different materials [22,32,33,35,36]; (d) experimental and predicted critical shear strain for shear localization [34,36]."
fig5,articles_test/10.1016.j.actamat.2018.03.040/figures/gr5.jpg,Fig. 5,(a) Bright-field TEM image of the microstructure inside the shear band; (b) corresponding dark-field TEM image of (a); (c) TEM selected area diffraction pattern inside the shear band; (d) grain size distribution inside the shear band corresponding to the TEM image in (a).
fig6,articles_test/10.1016.j.actamat.2018.03.040/figures/gr6.jpg,Fig. 6,Bright-field TEM images showing (a) recrystallized grains with dislocations and twins; (b) recrystallized grains with arrays of planar dislocations; (c) recrystallized equiaxed grains with dashed lines showing twin boundaries; (d) nanotwin inside one recrystallized grain.
