Alloy Name,DOIs
Al0.2Co1.5CrFeNi1.5Ti0.3,"['10.1016.j.vacuum.2024.113190', '10.1016.j.jallcom.2015.09.042', '10.1016.j.addma.2020.101601', '10.1016.j.ijplas.2017.10.005', '10.1016.j.jallcom.2020.157521', '10.1016.j.matchemphys.2017.10.064']"
Al0.2Co1.5CrFeNi1.5Ti0.5,"['10.1016.j.actamat.2011.06.041', '10.1016.j.jallcom.2020.155273', '10.1016.j.jallcom.2021.159122']"
Al0.2Co1.5CrFeNi1.5Ti0.5C,"['10.1016.j.jallcom.2020.155273', '10.1016.j.wear.2021.204045']"
Al0.2CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.corsci.2023.111599', '10.1016.j.intermet.2012.03.005', '10.1016.j.intermet.2018.01.021', '10.1016.j.jmst.2020.01.057', '10.1016.j.msea.2021.141253', '10.1016.j.mtcomm.2021.102525', '10.1016.j.wear.2019.203028', '10.1016.j.msea.2019.138526', '10.1016.j.mtcomm.2022.104079', '10.1016.j.surfcoat.2022.128804', '10.1016.j.vacuum.2020.109875', '10.1016.j.matchar.2023.113217', '10.1016.j.jnucmat.2023.154342']"
Al0.2CoCrFeNiMo0.5,"['10.1016.j.jallcom.2022.167422', '10.1016.j.matlet.2022.132109', '10.1016.j.matlet.2023.135789']"
Al0.2CrCuFeNi2,"['10.1016.j.corsci.2022.110697', '10.1016.j.jallcom.2013.01.007', '10.1016.j.matchar.2018.07.030']"
Al0.2CrFeMoV,"['10.1016.j.apsusc.2019.03.173', '10.1016.j.matdes.2018.07.023']"
Al0.2CrFeNi,"['10.1016.j.jallcom.2023.169512', '10.1016.j.matdes.2022.111469', '10.1016.j.surfcoat.2023.129338']"
Al0.2CrFeNiTi0.2,"['10.1016.j.intermet.2018.05.013', '10.1016.j.scriptamat.2020.05.047']"
Al0.2CrNbTiV,"['10.1016.j.ijrmhm.2022.105784', '10.1016.j.surfcoat.2022.128873']"
Al0.2Si0.2CrFeCoNiCu0.8,"['10.1016.j.jallcom.2016.09.213', '10.1016.j.matdes.2015.11.013']"
Al0.35CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.intermet.2018.01.021']"
Al0.38CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.matlet.2024.136084']"
