Figure ID,Figure Path,Figure Label,Figure Caption
fig0005,articles_all/10.1016.j.mtcomm.2024.109341/figures/gr1.jpg,Fig. 1,a) XRD patterns and b)-e) BSE-images of the investigated high- and medium entropy alloys.
fig0010,articles_all/10.1016.j.mtcomm.2024.109341/figures/gr2.jpg,Fig. 2,"a) Density, b) specific heat capacity, c) thermal diffusivity and d) resulting thermal conductivity of the investigated high- and medium entropy alloys between 300 and 773 K."
fig0015,articles_all/10.1016.j.mtcomm.2024.109341/figures/gr3.jpg,Fig. 3,"a) Electrical resistivity, b) electronic and c) phononic thermal conductivity and d) fraction of the electronic thermal conductivity of the investigated high- and medium entropy alloys."
fig0020,articles_all/10.1016.j.mtcomm.2024.109341/figures/gr4.jpg,Fig. 4,"ESR spectra of a) CrMnFeCoNi, b) CrFeCoNi, c) CrFeNi and measured in a sample plane ofθ= 0° andθ= 90° relative to the magnetic field at RT."
fig0025,articles_all/10.1016.j.mtcomm.2024.109341/figures/gr5.jpg,Fig. 5,ESR spectra of CrCoNi measured in a sample plane of a)θ= 0° and b)θ= 90° relative to the magnetic field at RT.
