Element,1100 degC,1100 degC,1100 degC,1100 degC,1200 degC,1200 degC,1200 degC,1200 degC
Element,Average,Point 1,Point 2,Point 3,Average,Point 4,Point 5,Point 6
Al,22.2,25.6,10.9,11.3,17.3,26.2,11.4,11.7
Cr,17.4,15.8,24.6,27.7,21.9,16.6,23.5,29.7
Fe,18.2,17.6,26.2,24.4,21.3,16.5,25.5,25.0
Co,19.1,19.1,22.1,20.0,21.3,18.2,21.7,19.4
Ni,23.1,21.9,16.2,16.6,18.2,22.5,17.9,14.2
