Element,Element,Al,Co,Cr,Fe,Ni
Inspection zone,"Dendrite core, DC",22.2,19.1,17.4,18.2,23.1
Inspection zone,"Inter-dendritic, ID",17.3,21.3,21.9,21.3,18.2
Inspection zone,Global composition,20.8,19.8,19.7,20,19.7
