Alloys,DH  mix  (kJmol-1),DS  mix  (JK-1 mol-1),T  m  (K),d (%),O
Al0.6CoFeNi,-10.56,11.36,1628.16,4.95,1.75
Ti0.4Al0.6CoFeNi,-18.35,12.92,1659.35,6.08,1.17
