Alloy,r (gcm-3),H v (GPa),Ref.
AlMo0.5NbTa0.5TiZr,7.40+-0.08,5.8+-0.1,This work
Al0.4Hf0.6NbTaTiZr,9.05+-0.05,4.9+-0.1,This work
CrMo0.5NbTa0.5TiZr,8.23+-0.05,5.3+-0.1,[12]
HfNbTaTiZr,9.94+-0.05,3.8+-0.1,[8]
