Alloy,Al,Hf,Mo,Nb,Ta,Ti,Zr
AlMo0.5NbTa0.5TiZr,20.4,-,10.5,22.4,10.1,17.8,18.8
Al0.4Hf0.6NbTaTiZr,7.9,12.8,-,23.0,16.8,18.9,20.6
