Element,Al,Cr,Hf,Mo,Nb,Ta,Ti,Zr
r (pm),143,128,159,139,146,146,147,160
kh,1.61,1.66,1.3,2.16,1.60,1.50,1.54,1.33
V,3,6,4,6,5,5,4,4
T m (K),933.5,2180,2506,2896,2750,3290,1941,2128
