"Element (atomic size, A)",Co (1.25),Cr (1.25),Fe (1.24),Ni (1.24),Ti (1.44),Al (1.43)
Co,-,-7,-1,0,-42,-19
Cr,,,-1,-7,-11,-10
Fe,,,,-2,-25,-11
Ni,,,,,-52,-22
Ti,,,,,,-30
