Alloy,E (GPa),s max (GPa),e p (%)
Al0,134.6,2.02,9.0
Al0.5,106.8,1.60,9.9
Al1.0,147.6,2.28,6.4
Al1.5,133.4,2.11,9.8
Al2.0,93.5,1.03,5.2
