Samples,d (%),s 0.2 (MPa),s f (MPa)
Pure Al,15.11,39 +- 8,98 +- 2
Al10,7.23,258 +- 12,344 +- 2
Al20,6.57,-N/A,544 +- 2
Al30,3.09,-N/A,270 +- 2
