,CrFe1.5MnNi0.5,,,,,Al0.3CrFe1.5MnNi0.5,,,,
,E corr (mVSHE),i corr (A/cm2),i pass (A/cm2),E pit (mVSHE),DE (mVSHE),E corr (mVSHE),i corr (A/cm2),i pass (A/cm2),E pit (mVSHE),DE (mVSHE)
0.5M H2SO4,-221,6.86x10-4,3.14x10-5,1172,1218,-194,2.39x10-3,7.39x10-5,1164,1176
0.5M H2SO4 +0.10M NaCl,-242,2.06x10-3,7.09x10-5,1180,1150,-219,2.48x10-3,1.21x10-4,1156,1127
0.5M H2SO4 +0.25M NaCl,-238,4.60x10-3,4.75x10-3,589,495,-231,6.05x10-3,1.78x10-3,250,-
0.5M H2SO4 +0.50M NaCl,-240,9.75x10-3,5.78x10-3,475,352,-250,1.04x10-2,3.95x10-2,257,-
