,R s (Ocm2),R t (Ocm2),Y 0-dl (sadlO-1 cm-2),a dl,R ad (Ocm2),Y 0-ad (saadO-1 cm-2),a ad,R L (Ocm2),L (Hcm-2)
Al0,1.9,24.0,5.9x10-5,0.93,-,-,-,8.2,3.4
Al0.3,1.6,18.7,6.3x10-4,0.93,22.5,2.6x10-2,0.72,-,-
Al0.5,1.4,21.0,6.0x10-4,0.9,82.0,1.8x10-2,0.78,-,-
304s,2.2,205.0,3.5x10-4,0.89,-,-,-,-,-
