Type,Material,Compressive strength (MPa),Fracture strain (%)
Metal/metal fluoride,Al/PTFE [31],30,>70
Metal/metal oxides,Al/Fe2O3 [32],<100,-
Metal/metal,Al/Ni [7],225,5
Metal/metal,Al/Ta [7],450,3
Metal/metal,W/Zr [10],1860,1
Metallic composites,Hf/Al composite [11],522,1.2-1.5
