"Element, at.%",Ti,Zr,Hf,Ta
Large area of the matrix,29.98,28.25,28.75,13.03
Gray/dark lamellas,21.94+-0.32,28.41+-1.16,34.24+-1.28,15.41+-0.21
Lighter lamellas,26.33+-1.81,32.51+-3.33,30.48+-4.32,10.50+-1.02
Theoretical,28.33,28.33,28.33,15.01
Crystal structure at RT,HCP,HCP,HCP,BCC
Shear modulus (GPa),44,33,30,69
Melting point (K),1941,2128,2506,3290
