Table ID,Table Path,Table Label,Table Caption,Table Footer
tbl0005,/home/sai/sai-mani/articles_all/10.1016.j.msea.2011.11.044/tables/Table 1.csv,Table 1,Phase evolution after MA and SPS based on XRD analysis.,
tbl0010,/home/sai/sai-mani/articles_all/10.1016.j.msea.2011.11.044/tables/Table 2.csv,Table 2,Relative density obtained for the SPS samples.,
tbl0015,/home/sai/sai-mani/articles_all/10.1016.j.msea.2011.11.044/tables/Table 3.csv,Table 3,Crystallite size and lattice strain of MA and SPS samples.,
tbl0020,/home/sai/sai-mani/articles_all/10.1016.j.msea.2011.11.044/tables/Table 4.csv,Table 4,Vickers hardness for HEAs.,
tbl0025,/home/sai/sai-mani/articles_all/10.1016.j.msea.2011.11.044/tables/Table 5.csv,Table 5,Solid solution criteria parameter values for HEAs.,
tbl0030,/home/sai/sai-mani/articles_all/10.1016.j.msea.2011.11.044/tables/Table 6.csv,Table 6,Enthalpy of mixing (kJ/mol) between elements.,
