Samples,Items,Al (%),Co (%),Cr (%),Fe (%),Ni (%)
H-0,Designed,0,25.00,25.00,25.00,25.00
H-0,Overall (FCC),0,24.47,26.05,25.09,24.40
,,,,,,
H-0.25,Designed,5.88,23.53,23.53,23.53,23.53
H-0.25,Overall (FCC),5.89,23.21,24.49,23.82,22.59
,,,,,,
H-0.375,Designed,8.57,22.86,22.86,22.86,22.86
H-0.375,Overall,8.03,22.63,23.44,23.22,22.69
H-0.375,FCC (78.85%),6.20,23.34,24.75,24.19,21.52
H-0.375,N-BCC (21.15%),15.78,19.88,18.10,19.14,27.1
,,,,,,
H-0.50,Designed,11.11,22.22,22.22,22.22,22.22
H-0.50,Overall,12.10,22.63,21.55,21.66,22.06
H-0.50,FCC (75.51%),7.81,22.90,25.24,24.02,20.03
H-0.50,N-BCC (24.49%),29.51,16.42,9.44,12.04,32.60
,,,,,,
H-0.75,Designed,15.79,21.05,21.05,21.05,21.05
H-0.75,Overall,15.66,21.19,21.54,20.92,20.69
H-0.75,FCC (57.65%),7.84,22.68,27.77,25.61,16.1
H-0.75,D-BCC (42.35%),30.21,17.61,10.97,13.12,28.09
,,,,,,
H-0.875,Designed,17.95,20.51,20.51,20.51,20.51
H-0.875,Overall,17.33,21.15,20.93,20.18,20.43
H-0.875,W-FCC (37.12%),7.99,22.98,27.18,26.10,15.74
H-0.875,BCC (62.88%),27.25,18.69,13.43,14.46,26.18
,,,,,,
H-1.00,Designed,20.00,20.00,20.00,20.00,20.00
H-1.00,Overall,20.12,19.58,20.70,20.33,19.27
H-1.00,W-FCC (18.87%),6.98,23.12,27.78,27.70,14.42
H-1.00,BCC (81.13%),26.49,19.56,12.76,15.52,25.67
,,,,,,
H-1.25,Designed,23.81,19.05,19.05,19.05,19.05
H-1.25,Overall,25.53,19.24,19.06,19.11,19.06
H-1.25,W-BCC (26.08%),11.74,18.40,33.63,26.37,9.85
H-1.25,"BCC (matrix, 73.92%)",27.69,19.27,14.32,16.45,22.27
,,,,,,
H-1.50,Designed,27.27,18.18,18.18,18.18,18.18
H-1.50,Overall,27.44,18.69,18.26,17.95,17.66
H-1.50,W-BCC (18.21%),11.32,15.68,38.48,27.50,7.02
H-1.50,"BCC (matrix, 81.79%)",31.03,19.07,13.34,15.07,21.49
,,,,,,
H-2.00,Designed,33.33,16.67,16.67,16.67,16.67
H-2.00,Overall,30.13,17.65,17.96,17.29,16.97
H-2.00,W-BCC (30.94%),18.19,12.27,36.80,25.21,7.53
H-2.00,"BCC (matrix, 69.06%)",35.48,19.29,10.63,14.21,20.40
