Samples,Items,Al (%),Co (%),Cr (%),Fe (%),Ni (%)
D-0,Designed,0,25.00,25.00,25.00,25.00
D-0,Overall (FCC),0,25.61,25.17,24.84,24.38
,,,,,,
D-0.25,Designed,5.88,23.53,23.53,23.53,23.53
D-0.25,Overall (FCC),5.41,23.55,24.17,23.81,23.06
,,,,,,
D-0.375,Designed,8.57,22.86,22.86,22.86,22.86
D-0.375,Overall,7.83,23.03,23.24,22.99,22.91
D-0.375,FCC (78.85%),7.08,23.67,23.66,22.98,22.61
D-0.375,N-BCC (21.15%),24.93,16.52,11.42,13.52,33.62
,,,,,,
D-0.50,Designed,11.11,22.22,22.22,22.22,22.22
D-0.50,Overall,11.05,21.75,22.86,22.27,22.06
D-0.50,FCC (75.51%),7.66,23.12,24.95,23.79,20.48
D-0.50,N-BCC (24.49%),29.64,16.47,8.49,11.78,33.61
,,,,,,
D-0.75,Designed,15.79,21.05,21.05,21.05,21.05
D-0.75,Overall,15.45,21.06,21.50,20.99,20.99
D-0.75,FCC (57.65%),7.81,22.88,27.80,24.52,16.99
D-0.75,D-BCC (42.35%),29.05,17.60,11.00,12.87,29.48
,,,,,,
D-0.875,Designed,17.95,20.51,20.51,20.51,20.51
D-0.875,Overall,16.90,19.77,21.35,20.77,21.22
D-0.875,W-FCC (37.12%),6.35,29.37,25.93,22.33,16.02
D-0.875,BCC (62.88%),26.87,12.97,15.01,18.30,26.85
