Sample,Lattice constant (A),Lattice constant (A),Hardness (Hv)
,FCC phase,BCC phase,
C-0,3.559,-,116.0+-3
C-0.25,3.567,-,110.0+-2
C-0.375,3.560,-,130.8+-0.5
C-0.50,3.574,2.854,159.0+-2
C-0.75,3.569,2.861,388.0+-5
C-0.875,-,2.860,538.0+-12
C-1.00,-,2.869,484.0+-26
C-1.25,-,2.860,487.0+-19
C-1.50,-,2.866,484.0+-5
C-2.00,-,2.867,509.0+-27
