Sample,Lattice constant (A),Lattice constant (A),Hardness (Hv)
,FCC phase,BCC phase,
H-0,3.561,-,113.0+-0.4
H-0.25,3.573,-,113.0+-4
H-0.375,3.569,N/A,196.0+-2
H-0.50,3.591,2.873,209.0+-12
H-0.75,3.589,2.873,280.0+-3
H-0.875,3.577,2.869,361.0+-7
H-1.00,3.583,2.862,433.0+-22
H-1.25,-,2.866,499.0+-23
H-1.50,-,2.871,517.3+-21
H-2.00,-,2.866,512.4+-18
