Condition,Cold-rolled,800 degC,1000 degC,1200 degC
65% thickness reduction,367 +- 8,374 +- 8,347 +- 6,367 +- 5
86.4% thickness reduction,366 +- 4,375 +- 5,351 +- 7,370 +- 5
