Table ID,Table Path,Table Label,Table Caption,Table Footer
tbl1,/home/sai/sai-mani/articles_all/10.1016.j.msea.2007.01.122/tables/Table 1.csv,Table 1,Chemical composition of the AlCoCrCuNi and AlCoCrCuFeNi alloys in atomic percentage,
tbl2,/home/sai/sai-mani/articles_all/10.1016.j.msea.2007.01.122/tables/Table 2.csv,Table 2,"Hardness of the AlCoCrCuNi, AlCoCrCuFeNi, AgAlCoCrCuNi and AlAuCoCrCuNi alloys",
