Alloy,Atomic % (+-0.5),Atomic % (+-0.5),Atomic % (+-0.5),Atomic % (+-0.5),Atomic % (+-0.5)
Alloy,Co,Cr,Fe,Ni,Al
Al0.3CoCrFeNi,23.4,22.9,23.3,23.1,7.1
