Spectrum,Cr,Mn,Fe,Co,Ni
Total,24.5 +- 0.3,23.5 +- 0.4,23.7 +- 0.1,4.6 +- 0.2,23.7 +- 0.7
A,43.7 +- 1.6,17.2 +- 0.6,23.4 +- 0.2,4.6 +- 0.4,11.2 +- 0.9
B,46.7 +- 2.6,17.6 +- 2.1,18.5 +- 0.9,3.3 +- 0.3,13.7 +- 0.7
