Table ID,Table Path,Table Label,Table Caption,Table Footer
t0005,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.matlet.2016.03.133\tables\Table 1.csv,Table 1,"Lattice constant, density and Vickers hardness of the HfMoxNbTaTiZr alloys.",
t0010,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.matlet.2016.03.133\tables\Table 2.csv,Table 2,The chemical compositions of dendrite and interdendrite region in the HfMoxNbTaTiZr alloys.,
t0015,C:\Users\D. Sai Mani Kumar\Downloads\XML_Extractor\articles_test\10.1016.j.matlet.2016.03.133\tables\Table 3.csv,Table 3,"Compression yield strength, fracture strain, and Young's modulus of the HfMoxNbTaTiZr alloys.",
