Alloys,Fe,Ni,Mn,Al,Cr,C
C 0.07,41.83,10.13,35.25,7.20,5.52,0.07
C 0.16,40.6,11.58,35.55,7.10,5.01,0.16
C 0.30,44.85,10.05,32.25,7.35,5.20,0.30
C 0.55,41.08,10.21,35.46,7.39,5.31,0.55
C 1.1,39.93,10.35,35.67,7.40,5.55,1.1.
