Materials,Temp.(K),YS(MPa),UTS(MPa),Elongation (%)
FeCoCrNi,77,480,1725,55
FeCoCrNi,293,260,980,45
FeCoCrNiMo0.23,77,602,1863,51
FeCoCrNiMo0.23,293,360,1238,48
CrCoNi [23],77,560,1625,44
CrCoNi [23],293,360,750,30
CrMnFeCoNi [6],77,460,1060,60
CrMnFeCoNi [6],293,265,600,45
