Temp.(K),a(nm),E111 (GPa),E200 (GPa),E220 (GPa),E311 (GPa),ERietveld (GPa),V111,V200,V220,V311,VRietveld
77,0.3563,146.3,97.0,191.6,214.0,229,0.138,0.232,0.168,0.234,0.20
293,0.3604,136.6,98.0,175.0,237.2,190,0.198,0.349,0.348,0.321,0.27
