,FeCoCrNi,FeCoCrNi,FeCoCrNiMo0.23,FeCoCrNiMo0.23
Temperature (K),77,293,77,293
SFE (mJ/m2),13,32.5,10,19
Twinning Stress (MPa),635 +- 30,730 +- 30,-,-
