Phases,Al,Ti,Fe,Co,Ni
Nominal composition,20,20,20,20,20
FCC,5.39+-0.61,8.92+-0.73,31.69+-0.90,26.85+-0.34,27.15+-1.41
BCC,19.98+-0.27,17.37+-2.56,12.31+-3.22,25.71+-0.42,24.63+-0.62
Particles,71.03+-1.38,23.13+-1.27,2.30+-0.72,2.24+-0.66,1.30+-0.57
