Alloys,Zr0,Zr0.008,Zr0.05,Z0.1,Zr0.2,Zr0.3,Zr0.5
DH (kJ/mol),-12.32,-12.50,-13.42,-14.47,-16.45,-18.27,-21.49
DR (%),5.438,5.459,5.856,6.288,6.968,7.575,8.411
