,Al,Co,Cr,Fe,Ni,Zr
Al,,-19,-10,-11,-22,-44
Co,,,-4,-1,0,-41
Cr,,,,-1,-7,-12
Fe,,,,,-2,-25
Ni,,,,,,-49
