Element i/j d    aij  / d    Gij,Ta,Nb,Hf,Zr,Ti
Ta,0,0.58,0.79,0.71,0.44
Nb,0.00,0,0.24,0.14,-0.15
Hf,0.07,0.08,0,-0.10,-0.38
Zr,0.08,0.08,0.01,0,-0.29
Ti,-0.01,-0.01,-0.08,-0.09,0
