Metal,Ta,Nb,Hf,Zr,Ti,Alloy Calc.,Alloy Exp.
a (pm),330.3,330.1,355.9,358.2,327.6,340.9,340.4
r (g/cm3),16.65,8.57,13.31,6.51,4.51,9.89,9.94
H v (MPa),873,1320,1760,903,970,1165,3826
s 0.2 (MPa),170,240,240,280,195,226,929
