Alloy,Atomic % (+-0.5),Atomic % (+-0.5),Atomic % (+-0.5),Atomic % (+-0.5),Atomic % (+-0.5)
Alloy,Co,Cr,Fe,Ni,Al
Al0.3,23.4,22.9,23.3,23.1,7.1
Al0.6,21.4,20.9,22.8,21.6,13.3
Al0.85,20.2,20.7,21.1,19.8,18.3
