Alloys,DH  mix  (kJmol-1),DS  mix  (JK-1 mol-1),T  m  (K),d (%),O,VEC
Al0.75NiFeCrCo,-10.88,13.32,1708,4.73,1.76,7.42
Al0.75NiFeCr,-12.09,11.47,1704,5.11,1.36,7.00
Al0.75NiFeCrCoTi0.25,-14.22,14.32,1723,5.62,1.46,7.25
