Alloys,s0.2 (MPa),smax (MPa),e(%)
Nb0,147,413,48.0
Nb0.103,317,622,19.2
Nb0.155,321,744,23.3
Nb0.206,402,807,8.6
Nb0.309,478,879,3.5
Nb0.412,637,1004,1.3
