,Co,Cr,Fe,Ni,Al
Nominal,24.37,24.37,24.38,24.38,2.50
Measured,24.05 +- 0.02,23.90 +- 0.02,25.32 +- 0.02,24.25 +- 0.02,2.48 +- 0.05
